Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","2.22774","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","16.114973","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.852298","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.136417","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.842947","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.043568","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","16.820539","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-12.763339","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","1.222545","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.64666","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.316015","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.984045","E","Valeur estimée",""
"MK","Indicateurs macro","533","Aruba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.160394","E","Valeur estimée",""
"MK","Indicateurs macro","036","Australie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.726787","E","Valeur estimée",""
"MK","Indicateurs macro","040","Autriche","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.615601","E","Valeur estimée",""
"MK","Indicateurs macro","031","Azerbaïdjan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.723612","E","Valeur estimée",""
"MK","Indicateurs macro","044","Bahamas","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","2.028962","E","Valeur estimée",""
"MK","Indicateurs macro","048","Bahreïn","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.017988","E","Valeur estimée",""
"MK","Indicateurs macro","050","Bangladesh","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","10.298823","E","Valeur estimée",""
"MK","Indicateurs macro","052","Barbade","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.08636","E","Valeur estimée",""
"MK","Indicateurs macro","112","Bélarus","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.616056","E","Valeur estimée",""
"MK","Indicateurs macro","056","Belgique","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.076098","E","Valeur estimée",""
"MK","Indicateurs macro","084","Belize","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","0.656581","E","Valeur estimée",""
"MK","Indicateurs macro","204","Bénin","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.534691","E","Valeur estimée",""
"MK","Indicateurs macro","060","Bermudes","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.027026","E","Valeur estimée",""
"MK","Indicateurs macro","064","Bhoutan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","12.148644","E","Valeur estimée",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.921","E","Valeur estimée",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.012034","E","Valeur estimée",""
"MK","Indicateurs macro","072","Botswana","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.964811","E","Valeur estimée",""
"MK","Indicateurs macro","076","Brésil","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","13.990858","E","Valeur estimée",""
"MK","Indicateurs macro","096","Brunéi Darussalam","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.21375","E","Valeur estimée",""
"MK","Indicateurs macro","100","Bulgarie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","10.492325","E","Valeur estimée",""
"MK","Indicateurs macro","854","Burkina Faso","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.791984","E","Valeur estimée",""
"MK","Indicateurs macro","108","Burundi","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.02621","E","Valeur estimée",""
"MK","Indicateurs macro","132","Cabo Verde","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.162958","E","Valeur estimée",""
"MK","Indicateurs macro","116","Cambodge","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.110687","E","Valeur estimée",""
"MK","Indicateurs macro","120","Cameroun","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.454693","E","Valeur estimée",""
"MK","Indicateurs macro","124","Canada","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.909561","E","Valeur estimée",""
