Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","13.143833","E","Valeur estimée",""
"MK","Indicateurs macro","040","Autriche","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","9.142033","E","Valeur estimée",""
"MK","Indicateurs macro","112","Bélarus","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","19.660371","E","Valeur estimée",""
"MK","Indicateurs macro","056","Belgique","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","7.764205","E","Valeur estimée",""
"MK","Indicateurs macro","060","Bermudes","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","6.024368","E","Valeur estimée",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-6.214693","E","Valeur estimée",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-2.208877","E","Valeur estimée",""
"MK","Indicateurs macro","100","Bulgarie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","9.852139","E","Valeur estimée",""
"MK","Indicateurs macro","854","Burkina Faso","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","0.533253","E","Valeur estimée",""
"MK","Indicateurs macro","124","Canada","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","6.596415","E","Valeur estimée",""
"MK","Indicateurs macro","152","Chili","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","4.700321","E","Valeur estimée",""
"MK","Indicateurs macro","196","Chypre","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","3.022853","E","Valeur estimée",""
"MK","Indicateurs macro","170","Colombie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","7.279908","E","Valeur estimée",""
"MK","Indicateurs macro","188","Costa Rica","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-0.042545","E","Valeur estimée",""
"MK","Indicateurs macro","191","Croatie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","1.349281","E","Valeur estimée",""
"MK","Indicateurs macro","208","Danemark","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","15.942783","E","Valeur estimée",""
"MK","Indicateurs macro","218","Équateur","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","1.485025","E","Valeur estimée",""
"MK","Indicateurs macro","724","Espagne","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","4.960317","E","Valeur estimée",""
"MK","Indicateurs macro","748","Eswatini","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","11.376169","E","Valeur estimée",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","4.961256","E","Valeur estimée",""
"MK","Indicateurs macro","246","Finlande","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","2.104421","E","Valeur estimée",""
